filename, concept, elCounter, elELapsedTimeInMilliseconds, elkCounter, elkELapsedTimeInMilliseconds, hermitCounter, hermitELapsedTimeInMilliseconds
cto.clinical-trials-ontology.1.owl.xml, Active_comparator, 10,  6,10,  3,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Supportive_Care, 11,  8,11,  3,  11, 7
cto.clinical-trials-ontology.1.owl.xml, Feasibility_study, 9,  6,9,  3,  9, 11
cto.clinical-trials-ontology.1.owl.xml, Huntington's_disease, 10,  6,10,  3,  10, 6
cto.clinical-trials-ontology.1.owl.xml, Superiority_trial, 8,  6,8,  3,  8, 5
cto.clinical-trials-ontology.1.owl.xml, No_longer_available_for_expanded_access, 11,  6,11,  3,  11, 5
cto.clinical-trials-ontology.1.owl.xml, Amyloidosis, 10,  6,10,  2,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Intervention_assignment_scheme, 10,  5,10,  2,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Adverse_Event_Sub-Domain, 7,  5,7,  2,  7, 8
cto.clinical-trials-ontology.1.owl.xml, Clinical_trial_methods, 7,  5,7,  2,  7, 5
cto.clinical-trials-ontology.1.owl.xml, Clinical_trial_type, 7,  5,7,  2,  7, 5
cto.clinical-trials-ontology.1.owl.xml, Simple_randomization, 11,  5,11,  2,  11, 5
cto.clinical-trials-ontology.1.owl.xml, Study_arms, 8,  6,8,  3,  8, 5
cto.clinical-trials-ontology.1.owl.xml, Submission_Unit, 9,  6,9,  2,  9, 8
cto.clinical-trials-ontology.1.owl.xml, Phase_I, 8,  6,8,  2,  8, 5
cto.clinical-trials-ontology.1.owl.xml, Body_weight, 11,  6,11,  3,  11, 6
cto.clinical-trials-ontology.1.owl.xml, Open_label, 11,  6,11,  3,  11, 7
cto.clinical-trials-ontology.1.owl.xml, Month, 10,  7,10,  3,  10, 6
cto.clinical-trials-ontology.1.owl.xml, mg/dl, 10,  6,10,  2,  10, 10
cto.clinical-trials-ontology.1.owl.xml, Fed_state, 12,  7,12,  3,  12, 27
cto.clinical-trials-ontology.1.owl.xml, Clinical_Trial_measurement_Units, 8,  5,8,  3,  8, 6
cto.clinical-trials-ontology.1.owl.xml, Adverse_Event_Outcome_Assessment, 8,  6,8,  2,  8, 5
cto.clinical-trials-ontology.1.owl.xml, Single_regimen, 11,  5,11,  2,  11, 5
cto.clinical-trials-ontology.1.owl.xml, Start_Date, 9,  6,9,  2,  9, 5
cto.clinical-trials-ontology.1.owl.xml, Change_from_baseline, 11,  6,11,  2,  11, 9
cto.clinical-trials-ontology.1.owl.xml, Cross-sectional_study_design, 7,  7,7,  2,  7, 8
cto.clinical-trials-ontology.1.owl.xml, Official_title_of_trial_study, 9,  6,9,  2,  9, 5
cto.clinical-trials-ontology.1.owl.xml, Non-randomized_concurrent_control_study, 8,  6,8,  2,  8, 5
cto.clinical-trials-ontology.1.owl.xml, Protocol_Representation_Sub-Domain, 8,  6,8,  2,  8, 6
cto.clinical-trials-ontology.1.owl.xml, Sleep_disturbance_test, 9,  6,9,  3,  9, 6
cto.clinical-trials-ontology.1.owl.xml, Pharmacokinetic_study, 9,  6,9,  3,  9, 8
cto.clinical-trials-ontology.1.owl.xml, Biomarkers_in_Neurology, 10,  5,10,  2,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Primary_completion_Date, 9,  6,9,  2,  9, 5
cto.clinical-trials-ontology.1.owl.xml, Freezing, 11,  5,11,  2,  11, 5
cto.clinical-trials-ontology.1.owl.xml, Survey, 6,  5,6,  2,  6, 5
cto.clinical-trials-ontology.1.owl.xml, Drug_allergy, 11,  5,11,  2,  11, 5
cto.clinical-trials-ontology.1.owl.xml, Number_of_responders, 11,  5,11,  2,  11, 8
cto.clinical-trials-ontology.1.owl.xml, Completed, 11,  5,11,  3,  11, 5
cto.clinical-trials-ontology.1.owl.xml, Health_Services, 11,  6,11,  2,  11, 5
cto.clinical-trials-ontology.1.owl.xml, Clinical_Trial_Study, 2,  6,2,  2,  2, 5
cto.clinical-trials-ontology.1.owl.xml, Single_site, 9,  6,9,  3,  9, 5
cto.clinical-trials-ontology.1.owl.xml, Factorial_design, 9,  6,9,  3,  9, 6
cto.clinical-trials-ontology.1.owl.xml, Sever_Impairment_Battery, 8,  6,8,  2,  8, 8
cto.clinical-trials-ontology.1.owl.xml, Prion_diseases, 10,  6,10,  3,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Restricted_randomization, 11,  6,11,  2,  11, 5
cto.clinical-trials-ontology.1.owl.xml, Sponsoring, 13,  5,13,  2,  13, 5
cto.clinical-trials-ontology.1.owl.xml, Clinical_trial, 6,  5,6,  2,  6, 5
cto.clinical-trials-ontology.1.owl.xml, Magnetic_resonance_spectroscopy, 11,  5,11,  2,  11, 5
cto.clinical-trials-ontology.1.owl.xml, Experimental_study, 6,  5,6,  2,  6, 5
cto.clinical-trials-ontology.1.owl.xml, Video_movement_analysis, 11,  8,11,  2,  11, 5
cto.clinical-trials-ontology.1.owl.xml, Brief_summary, 9,  6,9,  2,  9, 5
cto.clinical-trials-ontology.1.owl.xml, Block_randomization, 12,  6,12,  3,  12, 5
cto.clinical-trials-ontology.1.owl.xml, Clinical_imagings, 8,  6,8,  2,  8, 5
cto.clinical-trials-ontology.1.owl.xml, Blindness, 9,  6,9,  2,  9, 5
cto.clinical-trials-ontology.1.owl.xml, Neuropsychiatric_symptoms, 11,  6,11,  2,  11, 8
cto.clinical-trials-ontology.1.owl.xml, Cognitive_Readouts, 8,  6,8,  2,  8, 5
cto.clinical-trials-ontology.1.owl.xml, Investigator_assigns_no_intervention, 11,  6,11,  2,  11, 5
cto.clinical-trials-ontology.1.owl.xml, Hydrocephalus, 10,  6,10,  2,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Unblinded, 10,  5,10,  2,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Structure_of_clinical_trial, 7,  5,7,  2,  7, 5
